DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
720,725,1033,1020,B6,563,N706JB,198,175,171,13,-10,SWF,FLL,1119,5,22,0,null,0,NA,NA,NA,NA,NA
607,610,853,857,B6,575,N231JB,171,167,143,-4,-8,SWF,MCO,989,9,19,0,null,0,NA,NA,NA,NA,NA
1255,1300,1536,1551,B6,577,N231JB,166,171,143,-15,-10,SWF,MCO,989,9,14,0,null,0,NA,NA,NA,NA,NA
1559,1555,1901,1851,B6,587,N554JB,187,176,154,10,-1,SWF,PBI,1077,4,29,0,null,0,NA,NA,NA,NA,NA
1225,1155,1520,1449,B6,1117,N228JB,180,174,162,31,25,SYR,FLL,1197,3,15,0,null,0,1,0,6,0,24
718,720,838,832,B6,45,N643JB,85,72,54,6,-7,SYR,JFK,209,17,14,0,null,0,NA,NA,NA,NA,NA
1303,1255,1405,1409,B6,74,N580JB,67,74,49,-4,3,SYR,JFK,209,8,10,0,null,0,NA,NA,NA,NA,NA
1818,1720,1918,1845,B6,80,N506JB,65,85,45,33,53,SYR,JFK,209,4,16,0,null,0,0,0,0,0,33
559,600,725,709,B6,1108,N273JB,91,69,56,16,-6,SYR,JFK,209,9,26,0,null,0,0,0,16,0,0
1628,1615,1918,1857,B6,666,N643JB,175,162,139,21,8,SYR,MCO,1053,20,16,0,null,0,0,0,13,0,8