tailnum,type,manufacturer,issue_date,model,status,aircraft_type,engine_type,year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,govBody
N706JB,Corporation,AIRBUS,03/27/2008,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2008,6,4,3,720,725,1033,1020,B6,563,198,175,171,13,-10,SWF,FLL,1119,5,22,0,null,0,NA,NA,NA,NA,NA,FAA
N231JB,Corporation,EMBRAER,06/12/2006,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006,6,4,3,607,610,853,857,B6,575,171,167,143,-4,-8,SWF,MCO,989,9,19,0,null,0,NA,NA,NA,NA,NA,FAA
N231JB,Corporation,EMBRAER,06/12/2006,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006,6,4,3,1255,1300,1536,1551,B6,577,166,171,143,-15,-10,SWF,MCO,989,9,14,0,null,0,NA,NA,NA,NA,NA,FAA
N554JB,Corporation,AIRBUS,12/04/2002,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2002,6,4,3,1559,1555,1901,1851,B6,587,187,176,154,10,-1,SWF,PBI,1077,4,29,0,null,0,NA,NA,NA,NA,NA,FAA
N228JB,Corporation,EMBRAER,05/22/2006,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006,6,4,3,1225,1155,1520,1449,B6,1122,180,174,162,31,25,SYR,FLL,1197,3,15,0,null,0,1,0,6,0,24,FAA
N643JB,Corporation,AIRBUS,09/07/2006,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006,6,4,3,718,720,838,832,B6,46,85,72,54,6,-7,SYR,JFK,209,17,14,0,null,0,NA,NA,NA,NA,NA,FAA
N580JB,Corporation,AIRBUS,11/18/2003,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2003,6,4,3,1303,1255,1405,1409,B6,74,67,74,49,-4,3,SYR,JFK,209,8,10,0,null,0,NA,NA,NA,NA,NA,FAA
N506JB,Corporation,AIRBUS INDUSTRIE,07/03/2003,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Jet,2000,6,4,3,1818,1720,1918,1845,B6,80,65,85,45,33,53,SYR,JFK,209,4,16,0,null,0,0,0,0,0,33,FAA
N273JB,Corporation,EMBRAER,06/29/2007,ERJ 190-100 IGW,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2007,6,4,3,559,600,725,709,B6,1108,91,69,56,16,-6,SYR,JFK,209,9,26,0,null,0,0,0,16,0,0,EASA
N643JB,Corporation,AIRBUS,09/07/2006,A320-232,Valid,Fixed Wing Multi-Engine,Turbo-Fan,2006,6,4,3,1628,1615,1918,1857,B6,666,175,162,139,21,8,SYR,MCO,1053,20,16,0,null,0,0,0,13,0,8,EASA